Name	Position	Preferred foot	Nation	League	Team	Gender
He Yupeng	RB	Right	China PR	CSL	Beijing FC	Male
Lucas Hedlund	ST	Right	Sweden	Allsvenskan	GAIS	Male
Konstantin Heide	GK	Right	Germany	3. Liga	Unterhaching	Male
Tim Heike	ST	Right	Germany	3. Liga	FC Ingolstadt 04	Male
Bryan Hein	LB	Left	Germany	Bundesliga 2	Jahn Regensburg	Male
Matías Hernandez	ST	Right	Argentina	Libertadores	San Lorenzo	Male
Mateo Hernández	CM	Right	Argentina	Sudamericana	Real Tomayapo	Male
Elvis Hernández	CB	Right	Argentina	Sudamericana	Coquimbo Unido	Male
Alexander Hernández	CM	Right	Uruguay	Sudamericana	Racing Club	Male
Daniel Herrera	CB	Right	Argentina	Libertadores	San Lorenzo	Male
David Hickson	LB	Left	Norway	Eliteserien	KFUM-Kameratene	Male
Marino Hinestroza	LW	Left	Colombia	Liga Colombia	Atl. Nacional	Male
Jens Hjertø-Dahl	CM	Right	Norway	Eliteserien	Tromsø IL	Male
Jannik Hofmann	RB	Right	Germany	Bundesliga 2	1. FC Nürnberg	Male
Corey Hollman	CDM	Left	Australia	A-League	Sydney FC	Male
Josh Honohan	CB	Right	Republic of Ireland	SSE Airtricity PD	Shamrock Rovers	Male
Grant Horton	CB	Right	England	SSE Airtricity PD	Waterford	Male
Mark Howard	GK	Right	England	EFL League One	Wrexham	Male
Sam Howes	GK	Right	England	EFL League One	Leyton Orient	Male
Šimun Hrgović	LB	Left	Croatia	Liga Hrvatska	Hajduk Split	Male
Hu Jiali	CDM	Right	China PR	CSL	Cangzhou FC	Male
Kyle Hudlin	ST	Right	England	EFL League Two	Newport County	Male
Ben Hüning	CB	Right	Germany	3. Liga	B. Dortmund II	Male
Ashley Hunter	LM	Right	England	EFL League Two	Accrington	Male
Kyle Hurst	LM	Right	England	EFL League Two	Doncaster	Male
Reece Hutchinson	LB	Left	England	SSE Airtricity PD	Sligo Rovers	Male
Nathan Huygevelde	CM	Right	Belgium	1A Pro League	KV Kortrijk	Male
Luka Hyryläinen	CDM	Right	Finland	Bundesliga 2	SSV Ulm 1846	Male
Mehmet Ibrahimi	CAM	Right	Germany	Ö. Bundesliga	Blau-Weiss Linz	Male
Luis Idjakovic	GK	Right	Germany	3. Liga	SV Sandhausen	Male
Stanis Idumbo	CAM	Right	Belgium	LALIGA EA SPORTS	Sevilla FC	Male
Denys Ignatenko	GK	Right	Ukraine	Ukrayina Liha	Dynamo Kyiv	Male
Milan Iloski	ST	Right	United States	3F Superliga	FC Nordsjælland	Male
Joachim Imbrechts	GK	Right	Sweden	1A Pro League	R. Union St.-G.	Male
Felix Irorere	CB	Right	Germany	3. Liga	B. Dortmund II	Male
Baptiste Isola	CDM	Right	France	Ligue 2 BKT	Grenoble Foot 38	Male
Jacob Jackson	GK	Right	United States	MLS	SJ Earthquakes	Male
Imam Jagne	CM	Right	Sweden	Allsvenskan	Mjällby AIF	Male
Andres Jasson	RM	Right	United States	3F Superliga	AaB	Male
Lenn Jastremski	ST	Right	Germany	3. Liga	Unterhaching	Male
Håvar Grøntvedt Jenssen	GK	Right	Norway	Eliteserien	Fredrikstad FK	Male
Jeon Jin Woo	LM	Right	Korea Republic	K League 1	Jeonbuk Hyundai	Male
Jeong Ji Yong	LM	Right	Korea Republic	K League 1	GwangJu FC	Male
Luke Jephcott	ST	Right	Wales	EFL League Two	Newport County	Male
Niklas Jessen	RB	Right	Germany	3. Liga	B. Dortmund II	Male
Ji Eon Hak	CAM	Right	Korea Republic	K League 1	Incheon United	Male
Lucas Hägg Johansson	GK	Right	Sweden	Allsvenskan	Brommapojkarna	Male
Carl Johnston	RB	Right	Northern Ireland	EFL League Two	Fleetwood Town	Male
Louis Jones	GK	Right	England	SSE Airtricity PD	Waterford	Male
Janis Juckel	CM	Right	Germany	3. Liga	Energie Cottbus	Male
Junior Zé	LM	Right	Switzerland	CSSL	FC Basel 1893	Male
Ali Kabacalman	CDM	Right	Switzerland	CSSL	FC Sion	Male
Vishal Kaith	GK	Right	India	ISL	Mohun Bagan SG	Male
Sergio Kalaj	CB	Right	Albania	Serie BKT	Frosinone	Male
Berat Kalkan	LM	Right	North Macedonia	Trendyol Süper Lig	Kasımpaşa	Male
Yahya Kalley	LB	Left	Sweden	Allsvenskan	IFK Norrköping	Male
Jimmy Kaparos	CDM	Right	Holland	3. Liga	Rot-Weiss Essen	Male
Yusuf Karagöz	GK	Right	Turkey	Trendyol Süper Lig	Alanyaspor	Male
Hlynur Freyr Karlsson	CB	Right	Iceland	Allsvenskan	Brommapojkarna	Male
Markus Karlsson	RB	Right	Sweden	Allsvenskan	Hammarby IF	Male
Al-Amin Kazeem	LB	Left	England	SSE Airtricity PD	St. Pats	Male
Fiacre Kelleher	CB	Right	Republic of Ireland	EFL League Two	Colchester	Male
Daniel Kelly	RM	Right	Republic of Ireland	SSE Airtricity PD	Derry City	Male
Jimmy Keohane	RB	Right	Republic of Ireland	SSE Airtricity PD	Galway United	Male
Maciej Kikolski	GK	Right	Poland	PKO BP Ekstraklasa	Radomiak Radom	Male
Kim Min Seok	LW	Left	Korea Republic	K League 1	Incheon United	Male
Kim Kyung Joon	ST	Right	Korea Republic	K League 1	Gimcheon Sangmu	Male
Kim Gyeong Min	ST	Right	Korea Republic	K League 1	Gangwon FC	Male
Kim Ji Hyun	ST	Right	Korea Republic	K League 1	Ulsan Hyundai	Male
Benjamin Kimpioka	ST	Right	Sweden	Scottish Prem	St. Johnstone	Male
Rayan Kolli	ST	Right	Algeria	EFL Championship	QPR	Male
Hugo Komano	ST	Right	France	CSSL	Yverdon Sport FC	Male
Yunus Emre Konak	CDM	Right	Turkey	Premier League	Brentford	Male
Richard Koné	ST	Right	Côte d'Ivoire	EFL League One	Wycombe	Male
Koo Ja Cheol	CM	Right	Korea Republic	K League 1	Jeju United	Male
Eray Korkmaz	RB	Right	Turkey	Trendyol Süper Lig	Çaykur Rizespor	Male
Kevin Kouassivi-Benissan	RB	Right	Finland	Finnliiga	HJK Helsinki	Male
Henri Koudossou	RM	Right	Germany	Bundesliga	FC Augsburg	Male
Albin Krasniqi	RW	Right	Switzerland	CSSL	FC Winterthur	Male
Jonas Krumrey	GK	Right	Germany	3F Superliga	Lyngby BK	Male
Kalifa Kujabi	CM	Left	Gambia	SUPERLIGA	FC Hermannstadt	Male
Dave Kwakman	CM	Right	Holland	Eredivisie	AZ	Male
Max Lamby	LB	Left	Germany	3. Liga	Unterhaching	Male
Johan Lara	GK	Right	Ecuador	Sudamericana	U. Católica	Male
Juan Larios	LB	Left	Spain	Premier League	Southampton	Male
Gabriel Lazăr	CB	Right	Romania	SUPERLIGA	Unirea Slobozia	Male
Kian Leavy	CAM	Left	Republic of Ireland	SSE Airtricity PD	St. Pats	Male
Harry Lee	GK	Right	England	EFL League One	Exeter City	Male
Li Hong	CB	Left	China PR	CSL	Cangzhou FC	Male
Kristian Lien	ST	Right	Norway	Eliteserien	Kristiansund BK	Male
Marcus Linday	CM	Right	Sweden	Allsvenskan	Västerås SK	Male
Wojciech Lisowski	RB	Right	Poland	PKO BP Ekstraklasa	Pogoń Szczecin	Male
Liu Ruofan	ST	Right	China PR	CSL	Wuhan Three Towns	Male
George Lloyd	ST	Right	England	EFL League One	Shrewsbury	Male
Aboubacar Lô	CB	Right	Senegal	Ligue 2 BKT	FC Metz	Male
Kyran Lofthouse	RB	Right	England	EFL League One	Barnsley	Male
Albin Lohikangas	LB	Left	Sweden	Allsvenskan	IFK Värnamo	Male
Lorenzo Lonardi	CM	Right	Italy	Serie BKT	Südtirol	Male
Alessandro Lopane	CM	Right	Australia	A-League	Melbourne City	Male
Joan López	GK	Right	Ecuador	Libertadores	IDV	Male
Carlos López	GK	Right	Spain	LALIGA HYPERMOTION	Málaga CF	Male
Evan Louro	GK	Right	United States	MLS	FC Cincinnati	Male
Donald Love	RB	Right	Scotland	EFL League Two	Accrington	Male
Matty Lund	CM	Right	Northern Ireland	EFL League Two	Salford City	Male
Alexander Lundin	GK	Right	Sweden	Allsvenskan	Mjällby AIF	Male
JJ Lunney	CM	Left	Republic of Ireland	SSE Airtricity PD	Shelbourne	Male
Luo Xin	LB	Right	China PR	CSL	Nantong Zhiyun FC	Male
Alexander Lyng	RW	Right	Denmark	3F Superliga	Sønderjyske	Male
Othmane Maamma	RM	Right	Morocco	Ligue 1 McDonald's	Montpellier	Male
Lewis Macari	CB	Right	Scotland	EFL League Two	Notts County	Male
Shaun MacDonald	GK	Right	England	EFL League One	Exeter City	Male
Sebastian Madejski	GK	Right	Poland	PKO BP Ekstraklasa	Cracovia	Male
Mohammad Mahmoud	ST	Right	Germany	Bundesliga 2	SV Elversberg	Male
Archie Mair	GK	Left	Scotland	EFL Championship	Norwich	Male
Elias Maluvunu	RM	Right	Switzerland	CSSL	FC Winterthur	Male
Josh March	ST	Right	England	EFL League Two	Harrogate Town	Male
Max Marie	CAM	Right	Germany	Bundesliga 2	Braunschweig	Male
Carlos Marín	GK	Right	Spain	LALIGA HYPERMOTION	Córdoba CF	Male
Anthony Markanich	LB	Left	United States	MLS	Minnesota United	Male
Sascha Marquet	ST	Right	Germany	3. Liga	Aleman. Aachen	Male
José Martínes	ST	Right	Bolivia	Sudamericana	Always Ready	Male
João Peglow	LW	Right	Brazil	PKO BP Ekstraklasa	Radomiak Radom	Male
Keres Masangu	CDM	Right	Belgium	1A Pro League	FCV Dender EH	Male
Luke Matheson	RB	Right	England	EFL League One	Bolton	Male
Emmanuele Matino	CB	Right	Italy	Serie BKT	Bari	Male
Jamille Matt	ST	Right	Jamaica	EFL League Two	Walsall	Male
Iba May	CDM	Right	Germany	Ö. Bundesliga	Austria Klagenfurt	Male
Eliezer Mayenda	ST	Left	Spain	EFL Championship	Sunderland	Male
Adam McDonnell	CDM	Right	Republic of Ireland	SSE Airtricity PD	Bohemians	Male
Oisín McEntee	CDM	Right	Republic of Ireland	EFL League Two	Walsall	Male
Tom McGill	GK	Right	Canada	EFL League Two	MK Dons	Male
Sean McGurk	CAM	Right	England	EFL League Two	Swindon Town	Male
James McManus	CDM	Right	Republic of Ireland	SSE Airtricity PD	Bohemians	Male
Adedire Mebude	RW	Right	Scotland	1A Pro League	KVC Westerlo	Male
Henrik Meister	ST	Right	Denmark	Ligue 1 McDonald's	Stade Rennais FC	Male
Jorge Mejía	GK	Right	Bolivia	Sudamericana	Nacional Potosí	Male
Rodrigo Melgarejo	CB	Right	Paraguay	Libertadores	Cerro Porteño	Male
Marco Meli	CAM	Right	Italy	Serie BKT	SS Juve Stabia	Male
Tomás Mendes	CM	Right	Spain	LALIGA EA SPORTS	D. Alavés	Male
Diego Méndez	CB	Right	Spain	LALIGA EA SPORTS	Rayo Vallecano	Male
Nobel Mendy	LB	Left	France	LALIGA EA SPORTS	Real Betis	Male
Chris Merrie	CM	Left	England	EFL League Two	Tranmere Rovers	Male
Ignacio Mesina	CB	Right	Chile	Sudamericana	Coquimbo Unido	Male
Patrick Metcalfe	RB	Right	Canada	Eliteserien	Fredrikstad FK	Male
Loris Mettler	CM	Right	Switzerland	Eliteserien	Sandefjord	Male
Leandro Meza	CM	Right	Paraguay	Sudamericana	Club Nacional	Male
Nicolás Meza	CM	Right	Chile	Libertadores	Palestino	Male
Oualid Mhamdi	RB	Right	Morocco	Bundesliga 2	Fürth	Male
Ole Erik Midtskogen	ST	Right	Norway	Eliteserien	Odds BK	Male
Hilmir Rafn Mikaelsson	ST	Right	Iceland	Eliteserien	Kristiansund BK	Male
Paul Milde	RB	Right	Germany	3. Liga	Energie Cottbus	Male
Ross Millen	RB	Right	Scotland	EFL League Two	Morecambe	Male
César Miño	ST	Left	Paraguay	Sudamericana	Guaraní	Male
Filippo Missori	RB	Right	Italy	Serie BKT	Sassuolo	Male
Max Moerstedt	ST	Right	Germany	Bundesliga	TSG Hoffenheim	Male
Zane Monlouis	CB	Right	Jamaica	Premier League	Arsenal	Male
Bader Monshi	CDM	Right	Saudi Arabia	ROSHN Saudi League	Damac FC	Male
Axel Montaña	CAM	Right	Uruguay	Sudamericana	Danubio	Male
Romain Montiel	ST	Right	France	Ligue 2 BKT	FC Martigues	Male
Stuart Moore	GK	Right	England	EFL League Two	Morecambe	Male
Luís Henrique	GK	Right	Brazil	Liga Portugal	Boavista FC	Male
Santiago Morales	CB	Left	Argentina	Primera División	Sarmiento	Male
Alan Morinigo	LM	Left	Argentina	Sudamericana	Olimpia	Male
Sander Risan Mørk	CM	Right	Norway	Eliteserien	Sandefjord	Male
Callum Morton	ST	Right	England	EFL League One	Northampton	Male
Arash Motaraghebjafarpour	RB	Right	Sweden	Allsvenskan	Kalmar FF	Male
Nikolas Muci	ST	Right	Switzerland	CSSL	GC Zürich	Male
Zakaria Mugeese	LW	Right	Ghana	Eliteserien	Odds BK	Male
Joshua Mukeh	CB	Left	Holland	Eredivisie	FC Utrecht	Male
Josh Mulligan	CM	Right	Scotland	Scottish Prem	Dundee FC	Male
Leonhard Münst	CM	Right	Germany	3. Liga	VfB Stuttgart II	Male
Andreas Murbeck	CB	Right	Sweden	Allsvenskan	IK Sirius	Male
Adam Murphy	CM	Right	Republic of Ireland	EFL Championship	Bristol City	Male
Fraser Murray	LM	Right	Scotland	Scottish Prem	Kilmarnock	Male
Ange Caumenan N'Guessan	CB	Right	France	Serie A Enilive	Torino	Male
Ilyes Najim	LM	Right	France	Ligue 2 BKT	SM Caen	Male
Nan Song	RM	Right	China PR	CSL	SZ Peng City	Male
Noah Nartey	CM	Right	Denmark	3F Superliga	Brøndby IF	Male
Marcos Navarro	LB	Left	Spain	LALIGA HYPERMOTION	Levante UD	Male
Ezequiel Naya	ST	Right	Argentina	Primera División	Sarmiento	Male
Mbaye Ndiaye	RW	Left	Senegal	PKO BP Ekstraklasa	Motor Lublin	Male
Ionuț Neagu	CDM	Right	Romania	SUPERLIGA	SC Oțelul Galați	Male
Manfredi Nespola	GK	Right	Italy	Serie BKT	Palermo	Male
Josh Neufville	LM	Right	England	EFL League Two	AFC Wimbledon	Male
Jonas Nickisch	GK	Right	Germany	Bundesliga 2	1. FC Köln	Male
Niklas Niehoff	ST	Right	Germany	3. Liga	VfL Osnabrück	Male
Severin Nioule	LW	Right	Côte d'Ivoire	Allsvenskan	BK Häcken	Male
Tom Nixon	RB	Right	England	EFL League Two	Doncaster	Male
Nahuel Noll	GK	Right	Germany	Bundesliga 2	Fürth	Male
Runar Norheim	LB	Right	Norway	Eliteserien	Tromsø IL	Male
Jahce Tyler Novello	ST	Right	Australia	Serie BKT	Cosenza	Male
Frédéric Nsabiyumva	CB	Right	Burundi	Allsvenskan	Västerås SK	Male
Patrick Nuamah	CM	Right	Italy	Serie BKT	Brescia	Male
Franklin Nyenetue	LW	Left	Norway	Eliteserien	Kristiansund BK	Male
John O'Sullivan	RM	Right	Republic of Ireland	SSE Airtricity PD	Shelbourne	Male
Timon Obermeier	CB	Right	Germany	3. Liga	Unterhaching	Male
Nikolay Obolskiy	ST	Left	Russia	LALIGA HYPERMOTION	Córdoba CF	Male
Jonas Oehmichen	CAM	Right	Germany	3. Liga	Dynamo Dresden	Male
Isaac Ogundere	RB	Right	England	EFL League Two	AFC Wimbledon	Male
Mazeed Ogungbo	LB	Left	Republic of Ireland	EFL League Two	Barrow	Male
Oh In Pyo	RM	Right	Korea Republic	K League 1	Gimcheon Sangmu	Male
Nicolas-Bernd Oliveira	LB	Right	Germany	Bundesliga 2	Hamburger SV	Male
Giacomo Olzer	CAM	Left	Italy	Serie BKT	Brescia	Male
Leon Opitz	LM	Left	Germany	Bundesliga	SV Werder Bremen	Male
Leo Oppermann	GK	Right	Germany	3. Liga	Arminia Bielefeld	Male
Nils Ortel	LB	Right	Germany	3. Liga	Unterhaching	Male
Fynn Otto	CB	Right	Germany	3. Liga	SC Verl	Male
Mohamed Ouédraogo	LB	Left	Burkina Faso	Ö. Bundesliga	SCR Altach	Male
Mansour Ouro-Tagba	ST	Right	Togo	Bundesliga 2	Jahn Regensburg	Male
Ignacio Pacheco	CDM	Left	Chile	Libertadores	Cobresal	Male
Édgar Páez	ST	Right	Paraguay	Libertadores	Cerro Porteño	Male
Yaw Paintsil	LB	Left	Norway	Eliteserien	Tromsø IL	Male
Kamil Pajnowski	CB	Left	Poland	PKO BP Ekstraklasa	Stal Mielec	Male
Ash Palmer	CB	Right	England	EFL League Two	Chesterfield	Male
Seb Palmer-Houlden	ST	Right	England	Scottish Prem	Dundee FC	Male
Kevor Palumets	CM	Left	Estonia	Finnliiga	HJK Helsinki	Male
Mats Pannewig	CM	Left	Germany	Bundesliga	VfL Bochum 1848	Male
Park Dae Won	CB	Right	Korea Republic	K League 1	Gimcheon Sangmu	Male
Park Sang Hyuk	ST	Right	Korea Republic	K League 1	Gimcheon Sangmu	Male
Park Jin Seong	LB	Left	Korea Republic	K League 1	Daejeon	Male
Felix Paschke	CM	Right	Germany	3. Liga	B. Dortmund II	Male
Alem Pasic	CB	Right	Austria	Ö. Bundesliga	Blau-Weiss Linz	Male
Sebastian Pasquali	CM	Right	Australia	A-League	Western United	Male
Michael Pavlović	LB	Left	Slovenia	SUPERLIGA	FC Botoșani	Male
Luca Pazourek	RB	Right	Austria	Ö. Bundesliga	FK Austria Wien	Male
Mateo Peralta	CM	Right	Uruguay	Sudamericana	Danubio	Male
Michał Perchel	GK	Right	Poland	PKO BP Ekstraklasa	Puszcza	Male
Marco Perchtold	CDM	Right	Austria	Ö. Bundesliga	Grazer AK	Male
Mateo Pérez	CB	Right	Argentina	Primera División	Banfield	Male
Jakob V. Persson	RB	Right	Sweden	Allsvenskan	IK Sirius	Male
Thiago Perugini	ST	Left	Argentina	Libertadores	San Lorenzo	Male
Diogo Monteiro	CB	Right	Portugal	EFL Championship	Leeds United	Male
Tailson	RW	Right	Brazil	SUPERLIGA	Politehnica Iași	Male
Marco Pissardo	GK	Right	Italy	Serie BKT	Bari	Male
James Plant	LB	Right	England	EFL League Two	Port Vale	Male
Leon Pöhls	GK	Right	Germany	SSE Airtricity PD	Shamrock Rovers	Male
Simon Power	RM	Right	Republic of Ireland	SSE Airtricity PD	Sligo Rovers	Male
Álex Primo	GK	Right	Spain	LALIGA HYPERMOTION	Levante UD	Male
August Priske	ST	Right	Denmark	Allsvenskan	Djurgårdens IF	Male
Ralph Priso	CDM	Left	Canada	MLS	Whitecaps FC	Male
Eduard Probst	ST	Right	Germany	3. Liga	SC Verl	Male
Jeffry Puriël	LM	Right	Holland	Eredivisie	Almere City FC	Male
Tymur Puzankov	GK	Right	Ukraine	Ukrayina Liha	Shakhtar Donetsk	Male
Kevin Pytlik	CB	Right	Poland	3. Liga	Viktoria Köln	Male
Fabricio Quaglio	LB	Left	Bolivia	Libertadores	The Strongest	Male
Joe Quigley	ST	Right	Republic of Ireland	EFL League Two	Chesterfield	Male
Ghjuvanni Quilichini	GK	Right	France	Ligue 2 BKT	AC Ajaccio	Male
Asish Rai	RM	Right	India	ISL	Mohun Bagan SG	Male
Dorian Răilean	GK	Right	Moldova	SUPERLIGA	FC Gloria Buzău	Male
Pedro David Ramírez	RB	Right	Argentina	Primera División	Dep. Riestra	Male
Kevin Rauhut	GK	Left	Germany	3. Liga	Viktoria Köln	Male
Hugo Redón	CM	Right	Spain	LALIGA HYPERMOTION	Levante UD	Male
Josh Reid	LB	Left	Scotland	Scottish Prem	Ross County	Male
Charlie Reilly	LM	Right	Scotland	Scottish Prem	Dundee FC	Male
Jay Rich-Baghuelou	CB	Right	Australia	EFL League Two	Accrington	Male
Lewis Richards	LB	Left	Republic of Ireland	EFL League Two	Bradford City	Male
Lewis Richardson	ST	Right	England	EFL Championship	Burnley	Male
Axl Ríos	CDM	Right	Chile	Sudamericana	Everton	Male
Sascha Risch	LM	Left	Germany	3. Liga	Dynamo Dresden	Male
Armando Rivas	ST	Left	Venezuela	Libertadores	Caracas FC	Male
Paulo Riveros	CAM	Left	Paraguay	Sudamericana	Olimpia	Male
Andrea Rizzo Pinna	CM	Right	Italy	Serie BKT	Cosenza	Male
Finlay Robertson	CM	Right	Scotland	Scottish Prem	Dundee FC	Male
Roh Kyung Ho	ST	Right	Korea Republic	K League 1	Suwon FC	Male
Jack Roles	CM	Right	Cyprus	EFL League One	Crawley Town	Male
Iván Román	CB	Right	Chile	Libertadores	Palestino	Male
Gastón Romano	CM	Right	Argentina	SUPERLIGA	FC Botoșani	Male
Tomás Romero	GK	Right	El Salvador	MLS	New York City FC	Male
Sergi Rosanas	RB	Right	Spain	Eredivisie	Sparta Rotterdam	Male
Lachlan Rose	ST	Right	Australia	A-League	Newcastle Jets	Male
Liam Rose	CDM	Right	Australia	A-League	Macarthur FC	Male
Oliver Ross	CAM	Right	Denmark	3F Superliga	AaB	Male
Håkon Røsten	CB	Right	Norway	Eliteserien	Rosenborg BK	Male
Filip Rózga	RW	Left	Poland	PKO BP Ekstraklasa	Cracovia	Male
Matías Ruiz Díaz	RB	Right	Argentina	Primera División	Ind. Rivadavia	Male
Tivonge Rushesha	CDM	Right	Zimbabwe	EFL League One	Reading	Male
Franco Saavedra	LB	Left	Argentina	Libertadores	Talleres	Male
Juan Salcedo	CM	Right	Paraguay	Sudamericana	S. Trinidense	Male
Adam Saldaña	CDM	Right	United States	Eliteserien	KFUM-Kameratene	Male
Salvador Sánchez	CB	Left	Argentina	Sudamericana	Coquimbo Unido	Male
Kevin Sánchez	ST	Right	Spain	LALIGA HYPERMOTION	RC Deportivo	Male
Facundo Sanguinetti	GK	Right	Argentina	Primera División	Banfield	Male
Tom Sanne	ST	Right	Germany	3. Liga	Hannover 96 II	Male
Sam Sargeant	GK	Left	England	SSE Airtricity PD	Waterford	Male
Jean Franco Sarmiento	ST	Right	Colombia	PKO BP Ekstraklasa	Radomiak Radom	Male
Gianluca Saro	GK	Right	Italy	Serie BKT	Cremonese	Male
Mathias Dahl Sauer	CM	Left	Denmark	Eliteserien	FK Haugesund	Male
Mathieu Scalet	CDM	Right	France	PKO BP Ekstraklasa	Motor Lublin	Male
Julius Schell	CB	Right	Germany	3. Liga	Aleman. Aachen	Male
Tjark Scheller	CB	Right	Germany	Bundesliga 2	SC Paderborn 07	Male
Maximilian Schmid	ST	Right	Germany	Bundesliga 2	1. FC Köln	Male
Jakob Schöller	CB	Right	Austria	Ö. Bundesliga	SK Rapid	Male
Thorsten Schriebl	CM	Right	Austria	Ö. Bundesliga	Grazer AK	Male
Arne Schulz	GK	Right	Germany	Bundesliga 2	SC Paderborn 07	Male
Dante Sealy	LM	Left	United States	MLS	FC Dallas	Male
Djiby Seck	LM	Right	Senegal	1A Pro League	KV Kortrijk	Male
Simon Seidl	CM	Right	Austria	Ö. Bundesliga	Blau-Weiss Linz	Male
Ismaël Séoné	ST	Right	Burkina Faso	Eliteserien	FK Haugesund	Male
Liam Shephard	RB	Right	Wales	EFL League Two	Salford City	Male
Jack Shepherd	CB	Left	England	EFL League Two	Bradford City	Male
Shi Liang	CDM	Right	China PR	CSL	Meizhou Hakka FC	Male
Shin Chang Moo	LM	Left	Korea Republic	K League 1	GwangJu FC	Male
Kevin Silva	CB	Right	Argentina	Libertadores	Rosario Central	Male
Toby Sims	RB	Right	England	EFL League Two	Harrogate Town	Male
Emanuel Sittaro	GK	Right	Argentina	Primera División	Instituto	Male
Håkon Sjåtil	RB	Right	Norway	Eliteserien	Kristiansund BK	Male
Herman Sjögrell	RW	Left	Sweden	Allsvenskan	IK Sirius	Male
David Skubl	GK	Right	Austria	Ö. Bundesliga	Wolfsberger AC	Male
Jordan Slew	LM	Right	England	EFL League Two	Morecambe	Male
Tyger Smalls	RW	Right	England	MLS	Charlotte FC	Male
Scott Smith	CM	Right	Wales	EFL League One	Wigan Athletic	Male
Matty Smith	ST	Right	Scotland	SSE Airtricity PD	Shelbourne	Male
Oisin Smyth	CAM	Right	Northern Ireland	Scottish Prem	St. Mirren	Male
Birnir Snær Ingason	LM	Right	Iceland	Allsvenskan	Halmstads BK	Male
Yann Songo'o	CDM	Right	Cameroon	EFL League Two	Morecambe	Male
Luca Sonzogni	GK	Right	Italy	Serie BKT	Mantova	Male
Marin Soticek	RW	Right	Croatia	CSSL	FC Basel 1893	Male
Ibrahima Sow	ST	Right	Senegal	LALIGA EA SPORTS	Sevilla FC	Male
Omar Sowunmi	CB	Right	England	EFL League Two	Bromley FC	Male
Finn Stam	CB	Right	Holland	Eredivisie	FC Groningen	Male
Dimitrios Stamatakis	GK	Right	Greece	LALIGA EA SPORTS	CA Osasuna	Male
Aleksandar Stanković	CDM	Right	Serbia	CSSL	FC Luzern	Male
Dominik Steczyk	ST	Right	Poland	3. Liga	SC Verl	Male
Harry Steele	CM	Left	Australia	A-League	Central Coast	Male
Michael Stickland	CB	Right	England	EFL League One	Reading	Male
Nikola Stojiljković	ST	Right	Serbia	ROSHN Saudi League	Al Kholood	Male
Chris Stokes	CB	Left	England	EFL League Two	Barrow	Male
Josh Stones	ST	Right	England	EFL League One	Wigan Athletic	Male
Sun Guowen	LB	Right	China PR	CSL	Zhejiang Pro	Male
Dominik Szala	RB	Right	Poland	PKO BP Ekstraklasa	Górnik Zabrze	Male
Gergő Szécsi	GK	Right	Hungary	Magyar Liga	Ferencvárosi TC	Male
Joel Tabiner	CM	Left	England	EFL League Two	Crewe Alexandra	Male
Ilias Takidine	RM	Right	Belgium	Eredivisie	RKC Waalwijk	Male
James Talbot	GK	Left	Republic of Ireland	SSE Airtricity PD	Bohemians	Male
Ignacio Tapia	CAM	Right	Argentina	Sudamericana	Belgrano	Male
Dragoș Tescan	RM	Right	Romania	SUPERLIGA	FC Gloria Buzău	Male
Simon Thomas	GK	Right	Canada	Eliteserien	Tromsø IL	Male
Tian Yinong	CDM	Right	China PR	CSL	SZ Peng City	Male
Nicolás Tolosa	LB	Left	Argentina	Primera División	Barracas Central	Male
Félix Tomi	RM	Right	France	Ligue 2 BKT	SC Bastia	Male
Fabio Torsiello	ST	Right	Italy	Bundesliga 2	SV Darmstadt 98	Male
Alex Tóth	RB	Right	Hungary	Magyar Liga	Ferencvárosi TC	Male
Richie Towell	CM	Right	Republic of Ireland	SSE Airtricity PD	Shamrock Rovers	Male
Nick Townsend	GK	Right	Antigua and Barbuda	EFL League Two	Newport County	Male
Garrison Tubbs	CB	Right	United States	MLS	D.C. United	Male
David Tutonda	LB	Left	Congo DR	EFL League Two	Morecambe	Male
Nik Tzanev	GK	Right	New Zealand	EFL League One	Northampton	Male
Cem Üstündag	CDM	Right	Austria	Ö. Bundesliga	WSG Tirol	Male
Connor van den Berg	GK	Right	Holland	Eredivisie	Willem II	Male
Luis Abelardo Vargas	LB	Left	Paraguay	Libertadores	Cerro Porteño	Male
Josue Vargas	GK	Right	Peru	Sudamericana	Dep. Garcilaso	Male
Vicente Vega	CB	Right	Chile	Sudamericana	Everton	Male
Emiliano Vidart	CDM	Right	Uruguay	Sudamericana	Wanderers	Male
Eduardo Villanueva	GK	Right	Chile	Libertadores	Colo-Colo	Male
Dominic Vincze	LB	Left	Austria	Ö. Bundesliga	SK Rapid	Male
Laurențiu Vlăsceanu	LB	Left	Romania	SUPERLIGA	Unirea Slobozia	Male
Oscar Wallin	CB	Right	Sweden	EFL League One	Peterborough	Male
Joe Walsh	GK	Right	England	EFL Championship	QPR	Male
Wang Yi	RB	Right	China PR	CSL	Wuhan Three Towns	Male
Wang Peng	CB	Right	China PR	CSL	Cangzhou FC	Male
Wang Zhifeng	GK	Right	China PR	CSL	Changchun Yatai	Male
Lukas Wedl	GK	Right	Austria	Ö. Bundesliga	FK Austria Wien	Male
Daouda Weidmann	CM	Right	France	Eredivisie	RKC Waalwijk	Male
Evan Weir	LB	Left	Republic of Ireland	EFL League Two	Walsall	Male
Joe Whitworth	GK	Right	England	EFL League One	Exeter City	Male
