Name	Position	Preferred foot	Nation	League	Team	Gender
Jarrod Bowen	RM	Left	England	Premier League	West Ham	Male
Marcelo Brozović	CDM	Right	Croatia	ROSHN Saudi League	Al Nassr	Male
Moisés Caicedo	CDM	Right	Ecuador	Premier League	Chelsea	Male
Emre Can	CDM	Right	Germany	Bundesliga	Borussia Dortmund	Male
Marco Carnesecchi	GK	Right	Italy	Serie A Enilive	Bergamo Calcio	Male
Koen Casteels	GK	Left	Belgium	ROSHN Saudi League	Al Qadisiyah	Male
Lucas Paquetá	LM	Left	Brazil	Premier League	West Ham	Male
Ángel Correa	ST	Right	Argentina	LALIGA EA SPORTS	Atlético de Madrid	Male
Marc Cucurella	LB	Left	Spain	Premier League	Chelsea	Male
Danilo	CB	Right	Brazil	Serie A Enilive	Juventus	Male
Otávio	CAM	Right	Portugal	ROSHN Saudi League	Al Nassr	Male
Diogo Dalot	RB	Right	Portugal	Premier League	Man Utd	Male
Sergi Darder	CM	Right	Spain	LALIGA EA SPORTS	RCD Mallorca	Male
Alphonso Davies	LB	Left	Canada	Bundesliga	FC Bayern München	Male
Giovanni Di Lorenzo	RB	Right	Italy	Serie A Enilive	SSC Napoli	Male
Brahim	CAM	Right	Morocco	LALIGA EA SPORTS	Real Madrid	Male
Denzel Dumfries	RB	Right	Holland	Serie A Enilive	Lombardia FC	Male
Edin Džeko	ST	Right	Bosnia and Herzegovina	Trendyol Süper Lig	Fenerbahçe	Male
Enzo Fernández	CM	Right	Argentina	Premier League	Chelsea	Male
Nacho Fernández	CB	Right	Spain	ROSHN Saudi League	Al Qadisiyah	Male
Gabriel Jesus	ST	Right	Brazil	Premier League	Arsenal	Male
Jorginho	CDM	Right	Italy	Premier League	Arsenal	Male
Pau Torres	CB	Left	Spain	Premier League	Aston Villa	Male
Niclas Füllkrug	ST	Right	Germany	Premier League	West Ham	Male
Gayà	LB	Left	Spain	LALIGA EA SPORTS	Valencia CF	Male
Paulo Gazzaniga	GK	Right	Argentina	LALIGA EA SPORTS	Girona FC	Male
Matthias Ginter	CB	Right	Germany	Bundesliga	SC Freiburg	Male
Serge Gnabry	RM	Right	Germany	Bundesliga	FC Bayern München	Male
Anthony Gordon	LW	Right	England	Premier League	Newcastle Utd	Male
Raphaël Guerreiro	LB	Left	Portugal	Bundesliga	FC Bayern München	Male
Péter Gulácsi	GK	Right	Hungary	Bundesliga	RB Leipzig	Male
Fabinho	CDM	Right	Brazil	ROSHN Saudi League	Al Ittihad	Male
Yangel Herrera	CDM	Right	Venezuela	LALIGA EA SPORTS	Girona FC	Male
Jonas Hofmann	CAM	Right	Germany	Bundesliga	Leverkusen	Male
Ciro Immobile	ST	Right	Italy	Trendyol Süper Lig	Beşiktaş	Male
Reece James	RB	Right	England	Premier League	Chelsea	Male
Boubacar Kamara	CDM	Right	France	Premier League	Aston Villa	Male
Franck Yannick Kessié	CDM	Right	Côte d'Ivoire	ROSHN Saudi League	Al Ahli	Male
Randal Kolo Muani	ST	Right	France	Ligue 1 McDonald's	Paris SG	Male
Filip Kostić	LM	Left	Serbia	Serie A Enilive	Juventus	Male
Mohammed Kudus	RM	Left	Ghana	Premier League	West Ham	Male
Dejan Kulusevski	RM	Left	Sweden	Premier League	Spurs	Male
Alexandre Lacazette	ST	Right	France	Ligue 1 McDonald's	OL	Male
Jeremías Conan Ledesma	GK	Right	Argentina	Libertadores	River Plate	Male
Bernd Leno	GK	Right	Germany	Premier League	Fulham	Male
Stanislav Lobotka	CM	Right	Slovakia	Serie A Enilive	SSC Napoli	Male
Ademola Lookman	ST	Right	Nigeria	Serie A Enilive	Bergamo Calcio	Male
Romelu Lukaku	ST	Left	Belgium	Serie A Enilive	SSC Napoli	Male
Gianluca Mancini	CB	Right	Italy	Serie A Enilive	AS Roma	Male
John McGinn	CM	Left	Scotland	Premier League	Aston Villa	Male
Aleksandar Mitrović	ST	Right	Serbia	ROSHN Saudi League	Al Hilal	Male
Nahuel Molina	RB	Right	Argentina	LALIGA EA SPORTS	Atlético de Madrid	Male
Savinho	LW	Left	Brazil	Premier League	Manchester City	Male
Thomas Müller	CAM	Right	Germany	Bundesliga	FC Bayern München	Male
Darwin Núñez	ST	Right	Uruguay	Premier League	Liverpool	Male
Michael Olise	RM	Left	France	Bundesliga	FC Bayern München	Male
Oyarzabal	ST	Left	Spain	LALIGA EA SPORTS	Real Sociedad	Male
Thomas Partey	CDM	Right	Ghana	Premier League	Arsenal	Male
Tijjani Reijnders	CM	Right	Holland	Serie A Enilive	Milano FC	Male
Fabián Ruiz	CM	Left	Spain	Ligue 1 McDonald's	Paris SG	Male
Brice Samba	GK	Left	France	Ligue 1 McDonald's	RC Lens	Male
Sancet	CAM	Right	Spain	LALIGA EA SPORTS	Athletic Club	Male
Jadon Sancho	LM	Right	England	Premier League	Chelsea	Male
